Frame,Rz,Ry,Rx,Tx,Ty,Tz
1410262,-24.7356559,-24.9478997,89.4947982,-25.617,-30.466,-81.337
1410270,-24.7365729,-24.9492082,89.4938877,-25.619,-30.465,-81.334
1410278,-24.7374718,-24.9506519,89.4926132,-25.619,-30.465,-81.332
1410286,-24.7328638,-24.9446367,89.4958615,-25.614,-30.469,-81.342
1410294,-24.7349597,-24.9473242,89.4944988,-25.617,-30.467,-81.337
1410302,-24.7391111,-24.9527104,89.4916509,-25.621,-30.465,-81.328
1410310,-24.7378871,-24.9510351,89.4926972,-25.62,-30.465,-81.331
1410318,-24.7403942,-24.9543314,89.4908745,-25.623,-30.464,-81.326
1410326,-24.7363305,-24.949314,89.4930573,-25.619,-30.467,-81.334
1410334,-24.7340365,-24.946314,89.4946874,-25.617,-30.468,-81.338
1410342,-24.7317428,-24.9433141,89.4963182,-25.615,-30.468,-81.343
1410350,-24.7360246,-24.9489307,89.4932352,-25.619,-30.466,-81.334
1410358,-24.7365941,-24.9493824,89.4935252,-25.619,-30.465,-81.334
1410366,-24.7371711,-24.9498344,89.4938326,-25.62,-30.464,-81.333
1410374,-24.7375449,-24.950406,89.4933707,-25.62,-30.464,-81.333
1410382,-24.7359562,-24.948525,89.4940333,-25.619,-30.465,-81.335
1410390,-24.7405484,-24.9544292,89.4910113,-25.623,-30.462,-81.326
1410398,-24.7399045,-24.9537449,89.4910946,-25.623,-30.462,-81.326
1410406,-24.7367152,-24.9497087,89.4930412,-25.62,-30.463,-81.332
1410414,-24.7346568,-24.9473735,89.493658,-25.618,-30.466,-81.336
1410422,-24.7343526,-24.9465494,89.4948846,-25.617,-30.466,-81.338
1410430,-24.7340408,-24.9457189,89.4961086,-25.616,-30.465,-81.34
1410438,-24.7314574,-24.943243,89.4958047,-25.614,-30.468,-81.343
1410446,-24.7288687,-24.9407688,89.4954841,-25.613,-30.471,-81.345
1410454,-24.7313322,-24.9432967,89.4953781,-25.615,-30.468,-81.343
1410462,-24.7351873,-24.9481663,89.4930464,-25.618,-30.466,-81.335
1410470,-24.7352029,-24.9477197,89.4941423,-25.618,-30.465,-81.336
1410478,-24.736099,-24.948946,89.4933766,-25.618,-30.466,-81.335
1410486,-24.7342188,-24.947169,89.4930961,-25.617,-30.468,-81.337
1410494,-24.7385581,-24.9521883,89.491567,-25.622,-30.464,-81.33
1410502,-24.7358137,-24.948973,89.4926309,-25.618,-30.467,-81.334
1410510,-24.7364673,-24.9499375,89.4919064,-25.62,-30.466,-81.333
1410518,-24.7389193,-24.9530604,89.490363,-25.623,-30.464,-81.327
1410526,-24.7413765,-24.9561878,89.4888218,-25.625,-30.463,-81.322
1410534,-24.7356854,-24.9489828,89.492301,-25.619,-30.467,-81.334
1410542,-24.7365059,-24.949776,89.4923813,-25.62,-30.466,-81.333
1410550,-24.7355454,-24.9489692,89.4919986,-25.619,-30.467,-81.334
1410558,-24.7345849,-24.9481604,89.4916207,-25.619,-30.468,-81.335
1410566,-24.7341631,-24.9468953,89.4936117,-25.617,-30.468,-81.338
