Frame,Rz,Ry,Rx,Tx,Ty,Tz,State
155582,-42.5310506,-40.7526034,92.675888,16.567,-76.97,-117.897,OK
155598,-42.532046,-40.7534912,92.6760004,16.565,-76.968,-117.893,OK
155606,-42.5301948,-40.7523108,92.6750712,16.566,-76.97,-117.893,OK
155614,-42.5300141,-40.7523164,92.6747955,16.566,-76.971,-117.893,OK
155622,-42.5313515,-40.7530074,92.6757145,16.567,-76.972,-117.892,OK
155630,-42.5311907,-40.752858,92.6757055,16.567,-76.971,-117.893,OK
155638,-42.5297772,-40.7521013,92.6747747,16.567,-76.972,-117.892,OK
155646,-42.5302798,-40.7519957,92.675679,16.569,-76.971,-117.893,OK
155654,-42.532741,-40.7532242,92.677436,16.569,-76.97,-117.89,OK
155662,-42.5328712,-40.7531782,92.6776987,16.57,-76.97,-117.891,OK
155670,-42.5318375,-40.7525174,92.6771824,16.569,-76.97,-117.892,OK
155678,-42.5320158,-40.7519638,92.6782931,16.572,-76.97,-117.895,OK
155686,-42.5327898,-40.7524341,92.6787171,16.571,-76.968,-117.895,OK
155694,-42.5318003,-40.7515982,92.6785341,16.571,-76.968,-117.895,OK
155702,-42.5308352,-40.7507854,92.6783518,16.571,-76.967,-117.896,OK
155710,-42.530269,-40.7501275,92.6785218,16.573,-76.968,-117.897,OK
155718,-42.5308432,-40.7502345,92.6792066,16.572,-76.967,-117.897,OK
155726,-42.5305124,-40.7503462,92.6785468,16.57,-76.967,-117.898,OK
155734,-42.5302086,-40.7504701,92.6779084,16.568,-76.967,-117.898,OK
155742,-42.5298553,-40.7497174,92.678538,16.57,-76.966,-117.898,OK
155750,-42.5312504,-40.7504069,92.6795445,16.569,-76.964,-117.896,OK
155758,-42.5315923,-40.7507331,92.6795505,16.569,-76.965,-117.895,OK
155766,-42.531045,-40.7502692,92.6794518,16.569,-76.964,-117.894,OK
155774,-42.5308841,-40.7498635,92.6798348,16.57,-76.965,-117.894,OK
155782,-42.530496,-40.7502172,92.67872,16.568,-76.965,-117.893,OK
155790,-42.5302972,-40.7498119,92.6790464,16.569,-76.966,-117.895,OK
155798,-42.5302339,-40.74983,92.6789253,16.569,-76.967,-117.897,OK
155806,-42.5296394,-40.7488623,92.6795276,16.571,-76.968,-117.897,OK
155814,-42.5287293,-40.7482111,92.6791793,16.572,-76.97,-117.898,OK
155822,-42.5281431,-40.7478801,92.6788195,16.572,-76.97,-117.899,OK
155830,-42.5287986,-40.7481679,92.6793478,16.573,-76.971,-117.899,OK
155838,-42.5279767,-40.7476452,92.6789331,16.573,-76.97,-117.9,OK
155846,-42.5276594,-40.7475583,92.678597,16.573,-76.971,-117.9,OK
155854,-42.5271895,-40.7475307,92.6779451,16.573,-76.972,-117.899,OK
155862,-42.5271632,-40.7475324,92.6779035,16.572,-76.971,-117.9,OK
155870,-42.5271245,-40.7473617,92.6781076,16.573,-76.971,-117.899,OK
155878,-42.5269755,-40.7474659,92.6777279,16.572,-76.97,-117.897,OK
155886,-42.5274521,-40.7481036,92.6774564,16.571,-76.969,-117.895,OK
155894,-42.5288036,-40.7489199,92.6782044,16.57,-76.967,-117.894,OK
155902,-42.5280073,-40.7482687,92.6780242,16.571,-76.968,-117.894,OK
155910,-42.5265081,-40.7476571,92.6767446,16.57,-76.969,-117.895,OK
155918,-42.5260914,-40.7472706,92.6767203,16.57,-76.968,-117.896,OK
155926,-42.5259116,-40.7471393,92.6766555,16.571,-76.971,-117.895,OK
155934,-42.52568,-40.7467502,92.6769088,16.572,-76.971,-117.896,OK
155942,-42.5252012,-40.7465371,92.6765272,16.574,-76.972,-117.894,OK
155950,-42.5247332,-40.7463305,92.6761518,16.575,-76.973,-117.892,OK
155958,-42.526594,-40.7469709,92.6779216,16.574,-76.97,-117.891,OK
155966,-42.5272381,-40.7474577,92.6781285,16.574,-76.969,-117.889,OK
155974,-42.5251862,-40.7462997,92.6768683,16.576,-76.971,-117.89,OK
155982,-42.5260164,-40.746936,92.6771214,16.575,-76.971,-117.888,OK
155990,-42.5267865,-40.7474751,92.6774346,16.576,-76.971,-117.887,OK
155998,-42.5275546,-40.7480137,92.6777454,16.576,-76.972,-117.886,OK
156006,-42.5267678,-40.7480997,92.6764511,16.574,-76.971,-117.883,OK
156014,-42.5278377,-40.7487123,92.6770946,16.573,-76.971,-117.88,OK
156022,-42.5275784,-40.7481411,92.6775854,16.575,-76.971,-117.882,OK
156030,-42.5250229,-40.7466445,92.6760993,16.576,-76.974,-117.883,OK
156038,-42.5238431,-40.7464892,92.6745933,16.575,-76.976,-117.883,OK
156046,-42.5229307,-40.745772,92.6743425,16.576,-76.977,-117.884,OK
156054,-42.5223083,-40.7455113,92.6738216,16.575,-76.977,-117.882,OK
156062,-42.5225658,-40.7454862,92.6742406,16.575,-76.976,-117.883,OK
156070,-42.5228382,-40.7454643,92.6746767,16.576,-76.975,-117.884,OK
156078,-42.5212268,-40.7440049,92.6745286,16.577,-76.976,-117.884,OK
156086,-42.5199446,-40.7429302,92.6742784,16.579,-76.977,-117.885,OK
156094,-42.5190138,-40.7419708,92.6743712,16.581,-76.978,-117.888,OK
156102,-42.5181635,-40.7415231,92.6737995,16.581,-76.978,-117.888,OK
156110,-42.5175197,-40.7410616,92.6735543,16.582,-76.979,-117.886,OK
156118,-42.5168824,-40.7406036,92.6733133,16.583,-76.979,-117.885,OK
156126,-42.5164087,-40.7403673,92.6729748,16.584,-76.98,-117.884,OK
156134,-42.514908,-40.7387343,92.673256,16.587,-76.981,-117.888,OK
156142,-42.5148093,-40.7388946,92.6728648,16.586,-76.981,-117.886,OK
156150,-42.5147218,-40.7385996,92.6731871,16.588,-76.981,-117.882,OK
156158,-42.5146139,-40.738026,92.6739054,16.59,-76.98,-117.881,OK
156166,-42.5137891,-40.7377979,92.6730355,16.589,-76.981,-117.88,OK
156174,-42.5130405,-40.7373424,92.6726261,16.59,-76.982,-117.879,OK
156182,-42.5124254,-40.737661,92.6712291,16.589,-76.983,-117.876,OK
156190,-42.5123446,-40.7369857,92.6721433,16.591,-76.983,-117.877,OK
156198,-42.5105549,-40.7361134,92.6708329,16.59,-76.984,-117.878,OK
156206,-42.5087787,-40.7352576,92.6695172,16.59,-76.984,-117.879,OK
156214,-42.5129297,-40.7377827,92.6717884,16.587,-76.98,-117.874,OK
156222,-42.5122908,-40.7373127,92.6715633,16.588,-76.981,-117.876,OK
156230,-42.5103735,-40.7358531,92.6709632,16.587,-76.982,-117.883,OK
156238,-42.5100458,-40.7361173,92.6700745,16.585,-76.981,-117.886,OK
156246,-42.5105371,-40.7359978,92.6709836,16.584,-76.978,-117.889,OK
156254,-42.5135551,-40.7375959,92.6729987,16.583,-76.977,-117.89,OK
156262,-42.5155009,-40.7387831,92.6740577,16.579,-76.973,-117.892,OK
156270,-42.5172237,-40.739757,92.6751135,16.578,-76.973,-117.893,OK
156278,-42.517791,-40.7405154,92.6747913,16.576,-76.972,-117.894,OK
156286,-42.5183484,-40.7412653,92.6744674,16.574,-76.971,-117.895,OK
156294,-42.5197523,-40.7413652,92.6763895,16.575,-76.973,-117.898,OK
156302,-42.519346,-40.7412277,92.6759995,16.574,-76.973,-117.898,OK
156310,-42.5208518,-40.7422922,92.6765957,16.575,-76.973,-117.895,OK
156318,-42.5223817,-40.7430444,92.6777056,16.575,-76.973,-117.894,OK
156326,-42.5233812,-40.7441261,92.6775273,16.575,-76.974,-117.891,OK
156334,-42.5213034,-40.7432251,92.6758354,16.573,-76.974,-117.891,OK
156342,-42.5208588,-40.7417242,92.6774755,16.578,-76.976,-117.894,OK
156350,-42.5210321,-40.7426271,92.6763496,16.575,-76.974,-117.892,OK
156358,-42.522645,-40.7421568,92.6794532,16.578,-76.975,-117.895,OK
156366,-42.5220908,-40.7417377,92.6792755,16.579,-76.974,-117.897,OK
156374,-42.5216652,-40.741498,92.6790135,16.579,-76.972,-117.895,OK
156382,-42.523697,-40.742559,92.6803925,16.579,-76.972,-117.894,OK
156390,-42.522743,-40.7418118,92.6801261,16.579,-76.972,-117.895,OK
156398,-42.5208412,-40.7406247,92.6791322,16.578,-76.972,-117.898,OK
156406,-42.5203293,-40.7398435,92.6795715,16.579,-76.972,-117.898,OK
156414,-42.5205746,-40.7406183,92.678748,16.578,-76.973,-117.896,OK
156422,-42.5209922,-40.740985,92.6788041,16.576,-76.974,-117.894,OK
156430,-42.5198293,-40.7402627,92.6781907,16.577,-76.975,-117.894,OK
156438,-42.5187021,-40.7398339,92.677181,16.576,-76.976,-117.893,OK
156446,-42.5185417,-40.740291,92.6762442,16.575,-76.977,-117.89,OK
156454,-42.5171427,-40.7400287,92.674578,16.574,-76.98,-117.888,OK
156462,-42.5157448,-40.7397686,92.6729099,16.574,-76.982,-117.887,OK
156470,-42.5145798,-40.7387179,92.6727961,16.576,-76.982,-117.887,OK
156478,-42.5144977,-40.7390462,92.6721722,16.575,-76.982,-117.884,OK
156486,-42.5142771,-40.7392089,92.6715971,16.575,-76.983,-117.884,OK
156494,-42.5128279,-40.7381163,92.6711272,16.576,-76.983,-117.885,OK
156502,-42.5114065,-40.7370338,92.670683,16.577,-76.983,-117.886,OK
156510,-42.5112652,-40.7370078,92.670514,16.578,-76.983,-117.886,OK
156518,-42.5111796,-40.7374081,92.6697747,16.577,-76.983,-117.883,OK
156526,-42.5117877,-40.7371745,92.6710313,16.579,-76.983,-117.885,OK
156534,-42.5104853,-40.7360911,92.6707642,16.58,-76.983,-117.888,OK
156542,-42.5117149,-40.7371504,92.6709604,16.577,-76.98,-117.888,OK
156550,-42.5130395,-40.7375562,92.6722972,16.577,-76.979,-117.888,OK
156558,-42.5140013,-40.7380046,92.6730327,16.577,-76.979,-117.887,OK
156566,-42.5149785,-40.7384626,92.6737762,16.577,-76.979,-117.886,OK
156574,-42.5144279,-40.7381286,92.6734736,16.578,-76.979,-117.886,OK
156582,-42.5138774,-40.7377946,92.673171,16.578,-76.98,-117.885,OK
156590,-42.5138389,-40.7385013,92.6720323,16.577,-76.982,-117.883,OK
156598,-42.5131181,-40.738133,92.6715306,16.577,-76.982,-117.884,OK
156606,-42.513775,-40.7382936,92.6722558,16.576,-76.98,-117.884,OK
156614,-42.5148128,-40.7391337,92.672504,16.575,-76.979,-117.881,OK
156622,-42.5140123,-40.7384973,92.6722948,16.577,-76.98,-117.883,OK
156630,-42.5147545,-40.7388544,92.6728453,16.577,-76.979,-117.881,OK
156638,-42.5125087,-40.7378972,92.6709909,16.577,-76.981,-117.883,OK
156646,-42.512229,-40.7373174,92.6714647,16.578,-76.982,-117.883,OK
156654,-42.5110673,-40.7363085,92.6712919,16.579,-76.982,-117.883,OK
156662,-42.5107191,-40.7357668,92.6716063,16.58,-76.981,-117.884,OK
156670,-42.5103969,-40.7352571,92.6719102,16.581,-76.981,-117.885,OK
156678,-42.6499628,-40.7935383,92.788788,16.571,-76.774,-117.841,OK
156686,-42.819195,-40.8584164,92.9387463,16.564,-76.718,-117.988,OK
156694,-43.2994585,-41.3204526,92.9391665,14.951,-75.825,-117.761,OK
156702,-44.3108262,-41.0846061,94.7541638,15.449,-75.378,-118.062,OK
156710,-44.6591975,-40.6588123,95.8970526,16.608,-76.135,-119.805,OK
156718,-44.3271079,-39.8691275,96.6405892,17.177,-77.037,-123.609,OK
156734,-45.8600396,-39.8842516,98.7621164,16.847,-77.637,-125.426,OK
156774,-56.3124799,-42.7819812,107.6002646,14.368,-74.117,-120.815,OK
156870,-61.0477434,-42.6419905,112.9927063,13.937,-76.51,-131.186,OK
156878,-63.3141737,-42.7136566,115.2352215,14.304,-74.169,-131.258,OK
156886,-66.5494069,-43.2722603,117.6995382,14.335,-70.696,-129.862,OK
156918,-63.386634,-42.9592299,114.9815767,13.661,-73.843,-130.872,OK
156926,-65.2303283,-43.0509887,116.7018823,13.737,-71.924,-131.242,OK
156934,-66.0198022,-43.0209534,117.5125815,13.928,-70.992,-131.41,OK
156942,-67.2274519,-43.1684787,118.4835952,13.844,-69.719,-131.304,OK
156950,-67.6660703,-43.2760074,118.7626674,13.658,-69.18,-131.227,OK
156958,-67.2300049,-43.1341431,118.5301452,13.732,-69.572,-131.578,OK
156966,-67.5640039,-43.1708127,118.8005475,13.715,-69.219,-131.444,OK
156974,-67.3693155,-43.2267149,118.5439627,13.53,-69.658,-131.383,OK
157022,-60.7454521,-42.5517553,112.7968049,13.092,-77.018,-131.924,OK
157030,-60.6246989,-42.7046807,112.4605545,12.902,-77.214,-131.182,OK
157038,-60.4874545,-42.6384098,112.4052557,12.931,-77.352,-131.162,OK
157046,-60.8043929,-42.7938495,112.5295352,12.83,-76.925,-130.738,OK
157054,-60.7370539,-42.6636598,112.635447,12.814,-77.017,-131.177,OK
157062,-60.9561664,-42.5816719,112.9783358,12.735,-76.709,-131.635,OK
157070,-62.4750224,-42.6052971,114.525087,13.109,-75.12,-131.747,OK
157078,-65.481092,-43.0502494,116.9490523,13.087,-71.753,-130.792,OK
157086,-65.8362279,-43.3345293,116.9262695,13.11,-71.411,-129.486,OK
157094,-62.6307528,-43.1237204,113.9902704,12.71,-74.802,-129.757,OK
157110,-65.0931804,-42.8216462,116.867528,13.159,-72.233,-131.195,OK
157118,-65.1260549,-43.3851099,116.1620851,12.659,-72.226,-129.598,OK
157126,-61.6740967,-42.6687657,113.6118676,12.768,-75.834,-130.841,OK
157142,-67.2942307,-43.3183179,118.3549215,12.755,-69.935,-130.349,OK
157150,-66.308182,-43.540634,117.1191952,12.642,-70.997,-129.253,OK
157158,-62.9626144,-42.9524014,114.5592396,12.488,-74.404,-130.398,OK
157174,-67.6331602,-43.2111955,118.8143914,12.769,-69.376,-130.524,OK
157182,-67.4213202,-43.6734252,118.021561,12.398,-69.704,-129.187,OK
157190,-63.7859851,-43.1526646,115.1288478,12.466,-73.494,-129.661,OK
157198,-63.1467238,-42.7516235,115.0147596,12.427,-74.12,-131.019,OK
157206,-66.2863778,-42.9826694,117.8204304,12.545,-70.793,-130.968,OK
157214,-69.1011001,-43.90226,119.3181215,12.11,-68.018,-129.116,OK
157230,-63.9016669,-43.3521616,114.9818507,11.972,-73.325,-129.114,OK
157238,-62.3918868,-42.9265848,114.0082257,11.939,-74.843,-130.177,OK
157246,-63.4425987,-42.7968947,115.2542534,12.182,-73.744,-130.811,OK
157254,-66.006778,-43.1010897,117.3957815,12.104,-70.949,-130.566,OK
157262,-67.8307685,-43.538714,118.5833791,12.161,-69.166,-129.374,OK
157302,-66.058176,-43.3252262,117.1548279,11.818,-70.99,-129.63,OK
157318,-61.3277773,-42.8908642,112.9495023,11.496,-75.925,-129.646,OK
157334,-64.4906949,-42.8597903,116.2216388,11.527,-72.426,-131.387,OK
157342,-66.6716492,-43.5327178,117.4816272,11.285,-70.116,-129.702,OK
157350,-65.74831,-43.5764191,116.5260552,11.189,-71.194,-129.118,OK
157358,-63.2406821,-43.2203008,114.4861089,11.165,-73.834,-129.814,OK
157366,-61.9087039,-42.8169534,113.6557398,11.157,-75.211,-130.674,OK
157374,-62.3912349,-42.9703649,113.9488431,10.879,-74.675,-130.732,OK
157382,-62.4779038,-42.8058852,114.2586923,10.996,-74.562,-131.221,OK
157390,-62.7991602,-42.9427178,114.405042,10.805,-74.229,-131.154,OK
157398,-62.7262439,-42.9999663,114.2537869,10.88,-74.403,-130.806,OK
157406,-62.504625,-42.9746519,114.0599313,10.824,-74.624,-130.629,OK
157414,-62.3338874,-43.0611738,113.767904,10.861,-74.813,-130.227,OK
157454,-67.4522187,-43.668238,118.0577236,10.902,-69.538,-129.596,OK
157462,-66.1979545,-43.1963001,117.4578113,10.998,-70.818,-130.711,OK
