Frame,Rz,Ry,Rx,Tx,Ty,Tz
248838,-33.5937599,-40.2979934,78.8873188,18.078,-78.399,-111.003
248854,-33.5938141,-40.297431,78.8882684,18.081,-78.399,-111.006
248862,-33.5939937,-40.2976378,78.8882732,18.081,-78.4,-111.005
248870,-33.5941809,-40.2978554,78.8882751,18.08,-78.401,-111.004
248878,-33.5925564,-40.2964704,78.8874952,18.082,-78.402,-111.006
248886,-33.5926913,-40.2965755,78.8875751,18.081,-78.402,-111.005
248894,-33.5931203,-40.2975167,78.8869078,18.079,-78.402,-111.002
248902,-33.5930118,-40.2974664,78.8867918,18.079,-78.402,-111.004
248910,-33.5936654,-40.297668,78.8876452,18.079,-78.401,-111.002
248918,-33.5936706,-40.2977668,78.8875043,18.078,-78.401,-111.002
248926,-33.5937323,-40.2975736,78.8879069,18.079,-78.4,-111.003
248934,-33.5935678,-40.2975839,78.8875996,18.078,-78.4,-111.003
248942,-33.5939371,-40.297793,78.8879373,18.078,-78.399,-111.003
248950,-33.5946095,-40.2981194,78.8886346,18.078,-78.398,-111.002
248958,-33.5950597,-40.2982134,78.8892903,18.078,-78.397,-111.002
248966,-33.595514,-40.2983161,78.8899401,18.078,-78.396,-111.003
248974,-33.5955228,-40.2982322,78.8900829,18.079,-78.396,-111.003
248982,-33.5952746,-40.298205,78.8896841,18.079,-78.397,-111.002
248990,-33.594786,-40.2983131,78.8886537,18.078,-78.397,-111.002
248998,-33.5941264,-40.297705,78.8884065,18.079,-78.399,-111.004
249006,-33.5937375,-40.2973728,78.8882209,18.08,-78.4,-111.005
249014,-33.5934433,-40.2974685,78.8875539,18.079,-78.4,-111.006
249022,-33.5931619,-40.2975698,78.8869011,18.078,-78.399,-111.006
249030,-33.5941098,-40.2976989,78.8883864,18.079,-78.399,-111.006
249038,-33.5950599,-40.297833,78.8898679,18.08,-78.398,-111.007
249046,-33.5935297,-40.2967954,78.8887283,18.08,-78.398,-111.008
249054,-33.5947206,-40.2974262,78.8898832,18.079,-78.396,-111.007
249062,-33.5947969,-40.297141,78.8904514,18.08,-78.395,-111.008
249070,-33.5947662,-40.2970994,78.8904599,18.08,-78.396,-111.007
249078,-33.5951088,-40.2974837,78.8904845,18.079,-78.396,-111.007
249086,-33.5954582,-40.2978815,78.8905006,18.078,-78.395,-111.006
249094,-33.5949789,-40.2978919,78.8896348,18.078,-78.397,-111.004
249102,-33.5946335,-40.2978381,78.8891039,18.078,-78.398,-111.004
249110,-33.5939207,-40.2976609,78.8881087,18.077,-78.398,-111.004
249118,-33.5937861,-40.2978184,78.8876309,18.076,-78.398,-111.003
249126,-33.5945191,-40.2980927,78.8885147,18.076,-78.397,-111.002
249134,-33.5946549,-40.2985643,78.8880399,18.076,-78.398,-111.002
249142,-33.5943746,-40.2984889,78.8876574,18.075,-78.398,-111.002
249150,-33.5944202,-40.2981157,78.8883044,18.077,-78.399,-111.002
249158,-33.5936018,-40.2969832,78.8885712,18.078,-78.398,-111.003
249166,-33.5927971,-40.2958643,78.8888418,18.08,-78.398,-111.005
249174,-33.5931739,-40.2960157,78.8892804,18.079,-78.397,-111.004
249182,-33.5937075,-40.2962035,78.8899416,18.079,-78.396,-111.004
249190,-33.5930528,-40.2961431,78.8888722,18.078,-78.396,-111.004
249198,-33.5939433,-40.2963934,78.8900718,18.078,-78.395,-111.004
249206,-33.5948472,-40.2966491,78.8912868,18.079,-78.395,-111.003
249214,-33.5918907,-40.2946855,78.8890229,18.08,-78.397,-111.007
249222,-33.5917816,-40.294534,78.8890592,18.08,-78.397,-111.007
249230,-33.5915792,-40.2947095,78.888434,18.079,-78.397,-111.007
249238,-33.5920357,-40.2953002,78.8883473,18.078,-78.397,-111.006
249246,-33.5932294,-40.2960372,78.8893461,18.077,-78.395,-111.004
249254,-33.5923415,-40.2951679,78.8890904,18.079,-78.397,-111.007
249262,-33.5917005,-40.2944781,78.8890002,18.079,-78.397,-111.006
249270,-33.5934447,-40.2951311,78.8911027,18.081,-78.396,-111.005
249278,-33.5926236,-40.2952594,78.8894519,18.082,-78.4,-111.005
249286,-33.5927811,-40.2953394,78.8896097,18.083,-78.399,-111.001
249294,-33.5919355,-40.2947516,78.8890019,18.085,-78.402,-111.001
249302,-33.5906829,-40.2947053,78.8868507,18.083,-78.401,-110.995
249310,-33.5888395,-40.2933979,78.8855648,18.085,-78.403,-110.993
249318,-33.5878948,-40.293041,78.8844309,18.084,-78.402,-110.99
249326,-33.5876944,-40.2934514,78.8834526,18.083,-78.402,-110.989
249334,-33.5896976,-40.2948547,78.8848764,18.083,-78.402,-110.987
249342,-33.5888957,-40.2952212,78.8828981,18.08,-78.401,-110.985
249350,-33.5875056,-40.2938717,78.8824801,18.081,-78.402,-110.986
249358,-33.5880773,-40.2940202,78.8832688,18.079,-78.398,-110.986
249366,-33.5875194,-40.2941726,78.8820479,18.077,-78.4,-110.988
249374,-33.5869782,-40.294342,78.8808309,18.075,-78.401,-110.99
249382,-33.59037,-40.2952276,78.8855033,18.076,-78.397,-110.994
249390,-33.5923162,-40.2963621,78.8872337,18.076,-78.396,-110.996
249398,-33.5934539,-40.2963662,78.889245,18.078,-78.397,-110.999
249406,-33.5935517,-40.2963243,78.889482,18.078,-78.398,-111.001
249414,-33.5922139,-40.2960273,78.88756,18.076,-78.399,-110.999
249422,-33.5929631,-40.2956306,78.8894907,18.081,-78.401,-111.003
249430,-33.5933626,-40.2959634,78.8896943,18.08,-78.401,-111.005
249438,-33.5932235,-40.2959864,78.8894126,18.08,-78.402,-111.003
249446,-33.5945147,-40.2966925,78.8906312,18.08,-78.4,-111.002
249454,-33.5944536,-40.2967816,78.8903877,18.079,-78.4,-111.001
249462,-33.5934394,-40.2967112,78.888696,18.077,-78.401,-110.999
249470,-33.5923535,-40.295394,78.8887686,18.079,-78.403,-111
249478,-33.5909028,-40.295131,78.8865947,18.076,-78.403,-111
