Frame,Rz,Ry,Rx,Tx,Ty,Tz,State
26302,-41.0504829,-46.8917481,81.6054669,-0.272,-70.344,-114.758,OK
26334,-41.0455263,-46.887705,81.603479,-0.268,-70.35,-114.759,OK
26342,-41.0452694,-46.8878521,81.6028925,-0.267,-70.351,-114.757,OK
26350,-41.0449112,-46.8878259,81.6023884,-0.268,-70.351,-114.756,OK
26358,-41.0443127,-46.8874435,81.602005,-0.268,-70.352,-114.757,OK
26366,-41.0445532,-46.8875948,81.6021622,-0.268,-70.351,-114.756,OK
26374,-41.0448078,-46.8877557,81.6023278,-0.268,-70.35,-114.755,OK
26382,-41.0437629,-46.8869153,81.6018924,-0.267,-70.353,-114.755,OK
26390,-41.0446287,-46.8882088,81.6014439,-0.267,-70.353,-114.751,OK
26398,-41.0455842,-46.8895497,81.6010663,-0.269,-70.353,-114.746,OK
26406,-41.0458843,-46.8899291,81.6010043,-0.268,-70.353,-114.744,OK
26414,-41.0462999,-46.8902812,81.6011532,-0.267,-70.355,-114.742,OK
26422,-41.0461772,-46.8902196,81.601052,-0.267,-70.355,-114.741,OK
26430,-41.0450934,-46.8891761,81.6008332,-0.265,-70.356,-114.743,OK
26438,-41.0440175,-46.8881367,81.6006207,-0.264,-70.358,-114.744,OK
26446,-41.0454813,-46.889716,81.600686,-0.265,-70.356,-114.74,OK
26454,-41.0461688,-46.8903405,81.6008754,-0.266,-70.354,-114.74,OK
26462,-41.0467588,-46.8908852,81.6010261,-0.266,-70.355,-114.737,OK
26470,-41.0465861,-46.890533,81.6012433,-0.265,-70.355,-114.737,OK
26478,-41.0458513,-46.8890172,81.6021903,-0.263,-70.354,-114.741,OK
26486,-41.0454534,-46.8890892,81.6014932,-0.263,-70.355,-114.74,OK
26494,-41.0450537,-46.889158,81.6007979,-0.263,-70.356,-114.739,OK
26502,-41.0448779,-46.8886339,81.6012433,-0.263,-70.356,-114.739,OK
26510,-41.0447081,-46.8881054,81.6017037,-0.263,-70.355,-114.739,OK
26518,-41.0443018,-46.8882751,81.6008616,-0.262,-70.358,-114.738,OK
