Frame,Rz,Ry,Rx,Tx,Ty,Tz,State
319182,-45.3877402,-46.6563876,88.2372031,-7.908,-69.783,-115.28,OK
319190,-45.3873509,-46.6565425,88.2364437,-7.908,-69.784,-115.28,OK
319198,-45.3871496,-46.6570192,88.2355058,-7.908,-69.785,-115.277,OK
319206,-45.3873231,-46.6567138,88.2361693,-7.907,-69.784,-115.277,OK
319214,-45.3868035,-46.6565283,88.2356945,-7.907,-69.785,-115.277,OK
319222,-45.3867035,-46.6563304,88.2358262,-7.907,-69.785,-115.277,OK
319230,-45.3866149,-46.6561516,88.2359474,-7.906,-69.785,-115.277,OK
319238,-45.387753,-46.6565367,88.2370161,-7.906,-69.783,-115.277,OK
319246,-45.3889133,-46.6569238,88.2381133,-7.906,-69.781,-115.276,OK
319254,-45.3882142,-46.6574126,88.23646,-7.908,-69.783,-115.274,OK
319262,-45.3875053,-46.6578942,88.2348027,-7.909,-69.785,-115.272,OK
319270,-45.3873451,-46.6567447,88.2361576,-7.907,-69.784,-115.275,OK
319278,-45.3872535,-46.6562847,88.2366612,-7.907,-69.784,-115.276,OK
319286,-45.3871682,-46.655842,88.2371498,-7.906,-69.785,-115.278,OK
319294,-45.3874154,-46.6562481,88.2369388,-7.906,-69.785,-115.279,OK
319302,-45.386966,-46.655825,88.2368892,-7.906,-69.785,-115.279,OK
319310,-45.3869494,-46.6556912,88.2370499,-7.906,-69.785,-115.281,OK
319318,-45.3853276,-46.6551602,88.2355024,-7.905,-69.788,-115.279,OK
319326,-45.3850514,-46.6549302,88.2354308,-7.905,-69.788,-115.279,OK
319334,-45.3847856,-46.6546952,88.2353805,-7.905,-69.789,-115.28,OK
319342,-45.3853151,-46.6548156,88.2359586,-7.905,-69.788,-115.28,OK
319350,-45.3856894,-46.6550755,88.2361271,-7.905,-69.787,-115.279,OK
319358,-45.3860709,-46.6553353,88.2363056,-7.906,-69.785,-115.279,OK
319366,-45.3849906,-46.6549282,88.2353482,-7.906,-69.786,-115.279,OK
319374,-45.3853512,-46.6551072,88.2356084,-7.907,-69.785,-115.279,OK
319382,-45.3857167,-46.6552898,88.2358707,-7.907,-69.784,-115.279,OK
319390,-45.3848558,-46.6555544,88.2342983,-7.908,-69.785,-115.277,OK
319398,-45.3841478,-46.6548003,88.2343406,-7.907,-69.787,-115.28,OK
319406,-45.3844534,-46.6551248,88.2343237,-7.907,-69.786,-115.28,OK
319414,-45.3847879,-46.6554837,88.2343001,-7.907,-69.787,-115.28,OK
319422,-45.385122,-46.6558512,88.2342641,-7.906,-69.787,-115.28,OK
319430,-45.3830864,-46.6543111,88.2335225,-7.906,-69.789,-115.282,OK
319438,-45.3842462,-46.65555,88.2334483,-7.906,-69.788,-115.278,OK
319446,-45.3840367,-46.6558158,88.2327889,-7.908,-69.788,-115.276,OK
319454,-45.3832319,-46.6553988,88.2322319,-7.907,-69.79,-115.277,OK
319462,-45.3823741,-46.6546831,88.2320111,-7.907,-69.79,-115.28,OK
319470,-45.3819289,-46.6540457,88.232262,-7.906,-69.792,-115.28,OK
319478,-45.3814838,-46.6534066,88.2325155,-7.904,-69.793,-115.28,OK
319486,-45.3834526,-46.6547336,88.233456,-7.906,-69.79,-115.28,OK
319494,-45.3854401,-46.6560746,88.2344037,-7.907,-69.786,-115.28,OK
319502,-45.3840913,-46.6551205,88.2338211,-7.906,-69.788,-115.276,OK
319510,-45.3831996,-46.6545535,88.2333483,-7.905,-69.791,-115.278,OK
319518,-45.3820169,-46.6530728,88.2337227,-7.903,-69.792,-115.282,OK
319526,-45.3833865,-46.6537561,88.2347067,-7.903,-69.79,-115.282,OK
319534,-45.3841576,-46.6540137,88.2354355,-7.902,-69.789,-115.282,OK
319542,-45.3849353,-46.654285,88.2361545,-7.901,-69.788,-115.283,OK
319550,-45.3854244,-46.6551746,88.2356186,-7.904,-69.787,-115.279,OK
319558,-45.3847886,-46.6545325,88.2356084,-7.903,-69.787,-115.28,OK
319566,-45.384165,-46.6538904,88.2356153,-7.903,-69.787,-115.282,OK
319574,-45.3849864,-46.6546042,88.2357876,-7.904,-69.785,-115.281,OK
319582,-45.3848976,-46.6549892,88.2351338,-7.905,-69.785,-115.281,OK
319590,-45.3855226,-46.6552027,88.2357178,-7.904,-69.785,-115.281,OK
319598,-45.3848803,-46.6548965,88.2352369,-7.904,-69.786,-115.282,OK
319606,-45.3842523,-46.6545902,88.2347761,-7.904,-69.787,-115.283,OK
319614,-45.3843748,-46.6548087,88.2346477,-7.906,-69.786,-115.281,OK
319622,-45.384127,-46.6543443,88.2349382,-7.903,-69.788,-115.283,OK
319630,-45.3833451,-46.6539136,88.2344321,-7.902,-69.79,-115.284,OK
319638,-45.383178,-46.6542346,88.2337562,-7.903,-69.791,-115.283,OK
319646,-45.3839421,-46.6541407,88.2349583,-7.901,-69.792,-115.282,OK
319654,-45.3840795,-46.654481,88.2346836,-7.9,-69.792,-115.28,OK
319662,-45.3852723,-46.6542361,88.236695,-7.897,-69.793,-115.279,OK
319670,-45.3848192,-46.6543887,88.2358491,-7.899,-69.79,-115.277,OK
319678,-45.3859788,-46.6543456,88.2375365,-7.898,-69.791,-115.278,OK
319686,-45.3877903,-46.6562148,88.237511,-7.899,-69.787,-115.275,OK
319694,-45.3889736,-46.6560262,88.2394316,-7.899,-69.787,-115.28,OK
319702,-45.3881466,-46.6565156,88.2375979,-7.902,-69.786,-115.277,OK
319710,-45.3892526,-46.6570342,88.2384379,-7.903,-69.784,-115.278,OK
319718,-45.3885895,-46.656553,88.2381682,-7.902,-69.785,-115.276,OK
319726,-45.3880026,-46.6567015,88.2371401,-7.905,-69.783,-115.28,OK
319734,-45.3880139,-46.6568369,88.23697,-7.905,-69.784,-115.281,OK
319742,-45.387157,-46.6569884,88.2355585,-7.907,-69.784,-115.283,OK
319750,-45.3869661,-46.6564523,88.2360273,-7.905,-69.787,-115.285,OK
319758,-45.3876315,-46.6578163,88.2350869,-7.909,-69.783,-115.283,OK
319766,-45.3864359,-46.6566524,88.2350078,-7.908,-69.787,-115.284,OK
319774,-45.3854216,-46.6571303,88.2329268,-7.909,-69.785,-115.278,OK
319782,-45.3857525,-46.6558677,88.2351267,-7.907,-69.786,-115.283,OK
319790,-45.3855763,-46.6559281,88.2347963,-7.906,-69.787,-115.281,OK
319798,-45.3858816,-46.6560965,88.2349935,-7.907,-69.785,-115.281,OK
319806,-45.3853342,-46.6561749,88.2341172,-7.907,-69.785,-115.278,OK
319814,-45.38621,-46.6568514,88.2344171,-7.909,-69.784,-115.276,OK
319822,-45.3865412,-46.6569377,88.2347635,-7.909,-69.784,-115.277,OK
319830,-45.3871662,-46.6576878,88.2346102,-7.909,-69.784,-115.274,OK
319838,-45.3862415,-46.657388,88.2337238,-7.911,-69.783,-115.273,OK
319846,-45.3853099,-46.6570849,88.2328324,-7.912,-69.782,-115.272,OK
319854,-45.3857583,-46.6570178,88.2335543,-7.91,-69.784,-115.273,OK
319862,-45.3860945,-46.6572927,88.2336485,-7.909,-69.784,-115.273,OK
319870,-45.3864286,-46.657566,88.233742,-7.908,-69.785,-115.272,OK
319878,-45.3860816,-46.6571452,88.233833,-7.908,-69.784,-115.274,OK
319886,-45.3848397,-46.6562057,88.2333805,-7.906,-69.787,-115.274,OK
319894,-45.3832578,-46.6547547,88.2331536,-7.904,-69.789,-115.275,OK
319902,-45.3825733,-46.654513,88.2325245,-7.904,-69.789,-115.272,OK
319910,-45.3820021,-46.6537633,88.2327529,-7.903,-69.788,-115.275,OK
319918,-45.3817904,-46.6534037,88.2329499,-7.9,-69.791,-115.274,OK
319926,-45.3817354,-46.6531994,88.2331534,-7.898,-69.792,-115.274,OK
319934,-45.380803,-46.652495,88.2328123,-7.897,-69.793,-115.273,OK
319942,-45.3799904,-46.6522354,88.232028,-7.898,-69.792,-115.273,OK
319950,-45.3801605,-46.6523137,88.2321592,-7.898,-69.791,-115.271,OK
319958,-45.3792414,-46.6519129,88.2314196,-7.897,-69.793,-115.271,OK
319966,-45.3799773,-46.6519302,88.2324291,-7.896,-69.792,-115.272,OK
