Frame,Rz,Ry,Rx,Tx,Ty,Tz
325990,-26.2049152,-23.8003389,95.6840689,-22.498,-23.567,-82.561
326030,-26.2046963,-23.8001972,95.6839252,-22.5,-23.567,-82.559
326038,-26.2048449,-23.8003871,95.6837917,-22.501,-23.567,-82.558
326046,-26.2055085,-23.8012026,95.6832762,-22.503,-23.567,-82.557
326054,-26.2059218,-23.8016939,95.6829961,-22.505,-23.566,-82.555
326062,-26.2063541,-23.8021976,95.6827282,-22.506,-23.566,-82.554
326070,-26.2065928,-23.8025692,95.68235,-22.507,-23.566,-82.553
326078,-26.2067607,-23.8025924,95.6826712,-22.508,-23.566,-82.553
326086,-26.2072036,-23.8032442,95.6820621,-22.509,-23.566,-82.551
326094,-26.2076548,-23.8039023,95.6814563,-22.511,-23.566,-82.549
326102,-26.2069691,-23.8030795,95.6819397,-22.509,-23.566,-82.55
326110,-26.2059705,-23.8020949,95.6821171,-22.509,-23.567,-82.55
326118,-26.2049861,-23.8011247,95.6822911,-22.509,-23.567,-82.55
326126,-26.2075536,-23.8035703,95.6820467,-22.51,-23.566,-82.548
326134,-26.2090772,-23.805087,95.6817403,-22.512,-23.565,-82.546
326142,-26.2094642,-23.8054072,95.6818229,-22.512,-23.564,-82.546
326150,-26.2088219,-23.8046861,95.6821533,-22.511,-23.564,-82.548
326158,-26.2091176,-23.8049734,95.6821115,-22.511,-23.564,-82.549
326166,-26.2094266,-23.8052687,95.6820796,-22.511,-23.564,-82.549
326174,-26.2105998,-23.8061879,95.6824566,-22.511,-23.563,-82.55
326182,-26.211305,-23.806745,95.6826722,-22.511,-23.562,-82.552
326190,-26.2122999,-23.8074949,95.6830648,-22.511,-23.562,-82.554
326198,-26.2128841,-23.8080547,95.6830012,-22.511,-23.561,-82.555
326206,-26.2138973,-23.8087716,95.6835164,-22.509,-23.561,-82.557
326214,-26.2153848,-23.809906,95.6840711,-22.505,-23.559,-82.558
326222,-26.2164756,-23.8107745,95.6843872,-22.502,-23.557,-82.559
326230,-26.2175231,-23.8114555,95.6850684,-22.498,-23.555,-82.561
326238,-26.2195284,-23.8135147,95.6845098,-22.496,-23.553,-82.561
326246,-26.2215735,-23.8155402,95.6841241,-22.493,-23.55,-82.56
326254,-26.2237377,-23.8175391,95.6840722,-22.49,-23.548,-82.559
326262,-26.2256252,-23.819237,95.684139,-22.486,-23.545,-82.559
326270,-26.2265683,-23.8199928,95.6844002,-22.482,-23.543,-82.56
326278,-26.2275121,-23.8207492,95.6846617,-22.478,-23.541,-82.561
326286,-26.2249453,-23.8180276,95.6855876,-22.474,-23.541,-82.566
326294,-26.2247447,-23.8177969,95.6857047,-22.472,-23.541,-82.568
326302,-26.2271811,-23.8202391,95.6851731,-22.472,-23.54,-82.567
326310,-26.2260938,-23.8190535,95.6856461,-22.47,-23.541,-82.569
326318,-26.2247384,-23.8171937,95.6871767,-22.466,-23.542,-82.574
326326,-26.2228427,-23.8151514,95.6879407,-22.463,-23.543,-82.579
326334,-26.2216568,-23.8140302,95.688033,-22.46,-23.545,-82.581
326342,-26.2207206,-23.8130346,95.6883783,-22.458,-23.546,-82.583
326350,-26.2197658,-23.8120998,95.6885317,-22.456,-23.547,-82.585
326358,-26.2189063,-23.8112477,95.688696,-22.454,-23.548,-82.586
326366,-26.2180707,-23.8104117,95.6888746,-22.453,-23.55,-82.588
326374,-26.2174843,-23.8097139,95.6892736,-22.452,-23.55,-82.59
326382,-26.2169056,-23.8090182,95.689685,-22.451,-23.551,-82.591
326390,-26.2188292,-23.811003,95.6891257,-22.451,-23.55,-82.589
326398,-26.219255,-23.8116232,95.6885558,-22.452,-23.551,-82.588
326406,-26.2206765,-23.8129417,95.6885079,-22.453,-23.55,-82.587
326414,-26.2205928,-23.8126284,95.6890915,-22.453,-23.55,-82.588
326422,-26.2205065,-23.812315,95.6896696,-22.453,-23.549,-82.589
326430,-26.2218739,-23.8137779,95.6891437,-22.453,-23.55,-82.588
326438,-26.2232363,-23.8152408,95.6886065,-22.454,-23.55,-82.587
326446,-26.2222206,-23.8139575,95.6894818,-22.453,-23.549,-82.588
326454,-26.2232542,-23.8150505,95.689116,-22.453,-23.549,-82.587
326462,-26.2223694,-23.8142186,95.6891733,-22.453,-23.55,-82.588
326470,-26.2210902,-23.8126143,95.6902463,-22.452,-23.55,-82.59
326478,-26.2201566,-23.8114655,95.6909751,-22.451,-23.55,-82.591
326486,-26.2197669,-23.8109752,95.6913061,-22.451,-23.55,-82.592
326494,-26.219841,-23.8109765,95.6914697,-22.45,-23.55,-82.592
326502,-26.2199262,-23.810988,95.6916331,-22.45,-23.55,-82.592
326510,-26.2189235,-23.8096697,95.6926243,-22.449,-23.55,-82.594
326518,-26.2177277,-23.8084196,95.6930122,-22.448,-23.551,-82.595
326526,-26.2125649,-23.8026339,95.6956458,-22.443,-23.554,-82.601
326534,-26.2077193,-23.7979534,95.6962698,-22.439,-23.557,-82.601
326542,-26.2074867,-23.7985208,95.6943465,-22.44,-23.558,-82.592
326550,-26.2095394,-23.8018469,95.6907699,-22.443,-23.558,-82.579
326558,-26.2106326,-23.8033641,95.6894926,-22.444,-23.558,-82.573
326566,-26.206579,-23.7978494,95.693957,-22.44,-23.561,-82.58
326574,-26.2057304,-23.7938534,95.7018998,-22.437,-23.564,-82.587
326582,-26.2078832,-23.791873,95.711635,-22.436,-23.567,-82.594
326590,-26.2113431,-23.790185,95.7235936,-22.436,-23.569,-82.602
326598,-26.2182545,-23.7912963,95.7364202,-22.437,-23.57,-82.611
326606,-26.2979645,-23.8156089,95.8557378,-22.47,-23.555,-82.721
326614,-26.3688295,-23.8481337,95.934575,-22.502,-23.571,-82.712
326622,-26.4072076,-23.8148468,96.1023783,-22.456,-23.592,-82.832
326630,-26.4377073,-23.7955838,96.2179722,-22.438,-23.625,-82.903
326638,-26.5541826,-23.8330594,96.3852193,-22.477,-23.605,-82.982
326646,-26.7004714,-23.8597941,96.6438135,-22.521,-23.574,-83.152
326654,-26.8569449,-23.8849775,96.926888,-22.569,-23.556,-83.358
326662,-26.984525,-23.9128589,97.1382489,-22.611,-23.552,-83.487
326670,-27.0351245,-23.8758533,97.3394103,-22.571,-23.572,-83.639
326678,-27.0377288,-23.8612216,97.3809544,-22.552,-23.592,-83.681
