Frame,Rz,Ry,Rx,Tx,Ty,Tz
2016782,6.4711727,6.4818318,89.9055007,-1.683,-43.055,-83.616
2016790,6.4691996,6.4800147,89.9040897,-1.683,-43.057,-83.613
2016798,6.4687911,6.4795841,89.9042798,-1.684,-43.056,-83.615
2016806,6.4688089,6.4796865,89.9035307,-1.684,-43.057,-83.616
2016814,6.4671799,6.4780607,89.9034776,-1.685,-43.056,-83.614
2016822,6.4665744,6.4775075,89.9030051,-1.687,-43.056,-83.614
2016830,6.4675317,6.4785113,89.9026072,-1.688,-43.056,-83.615
2016838,6.4676733,6.478654,89.902599,-1.688,-43.056,-83.615
2016846,6.4678142,6.4787983,89.9025715,-1.689,-43.055,-83.615
2016854,6.4647375,6.4759086,89.9008681,-1.69,-43.057,-83.608
2016862,6.4635894,6.4747551,89.9008981,-1.691,-43.056,-83.606
2016870,6.4638709,6.4750894,89.9004338,-1.693,-43.056,-83.606
2016878,6.4623045,6.473539,89.9002675,-1.694,-43.055,-83.603
2016886,6.4606856,6.4719199,89.9002446,-1.694,-43.055,-83.601
2016894,6.4612321,6.472562,89.8994056,-1.694,-43.056,-83.603
2016902,6.4617696,6.4731968,89.8985513,-1.694,-43.058,-83.605
2016910,6.4582958,6.4695497,89.9000341,-1.694,-43.055,-83.603
2016918,6.4585909,6.4699051,89.899504,-1.692,-43.056,-83.605
2016926,6.4588722,6.4702468,89.8989722,-1.691,-43.057,-83.607
2016934,6.460685,6.4720219,89.8993346,-1.692,-43.058,-83.615
2016942,6.4612888,6.4725546,89.8999753,-1.692,-43.058,-83.616
2016950,6.4609564,6.4722269,89.8999284,-1.692,-43.059,-83.614
2016958,6.4625834,6.4737774,89.900631,-1.688,-43.063,-83.611
2016966,6.4643141,6.4751243,89.9040607,-1.686,-43.066,-83.611
2016974,6.4658491,6.4760402,89.9095724,-1.682,-43.07,-83.611
2016982,6.4791411,6.4784796,90.0058628,-1.673,-43.078,-83.688
2016990,6.4906844,6.4839403,90.0596915,-1.671,-43.077,-83.772
2016998,6.490257,6.4788594,90.1009215,-1.67,-43.085,-83.797
2017006,6.5021798,6.4802456,90.1940202,-1.662,-43.075,-83.904
2017014,6.5193272,6.4883036,90.2738919,-1.663,-43.079,-83.99
2017022,6.5336729,6.4922488,90.3652004,-1.647,-43.083,-84.092
2017030,6.5484439,6.496904,90.453708,-1.647,-43.09,-84.195
2017038,6.5553257,6.4909099,90.5670153,-1.652,-43.086,-84.32
2017046,6.5686743,6.4876472,90.7126824,-1.648,-43.077,-84.476
2017054,6.5899304,6.4931262,90.8497152,-1.641,-43.075,-84.652
2017062,6.6183429,6.5041704,90.9991616,-1.627,-43.072,-84.84
2017070,6.6501164,6.5184852,91.147925,-1.622,-43.064,-85.012
2017078,6.6472526,6.4991299,91.2939057,-1.649,-43.049,-85.126
2017086,6.6459374,6.482762,91.4272942,-1.674,-43.027,-85.257
2017094,6.6862124,6.5080957,91.5502583,-1.653,-43.029,-85.428
2017102,6.7197012,6.526687,91.6733276,-1.629,-43.037,-85.583
2017110,6.7263358,6.520815,91.7816343,-1.65,-43.028,-85.717
2017118,6.7026497,6.4919498,91.833764,-1.672,-43.022,-85.73
2017126,6.71934,6.5023239,91.8848773,-1.664,-43.021,-85.813
2017134,6.7518943,6.5263864,91.9503056,-1.665,-43.021,-85.932
2017142,6.7498,6.5174589,92.011052,-1.688,-43.017,-85.945
2017150,6.7341003,6.4954411,92.071589,-1.716,-43.002,-85.955
2017158,6.7499438,6.5047961,92.1238708,-1.722,-43.007,-86.013
2017166,6.7666809,6.5142392,92.1827569,-1.717,-43.021,-86.084
2017174,6.7764053,6.5148932,92.2594079,-1.707,-43.025,-86.175
2017182,6.7823812,6.5122886,92.3329318,-1.709,-43.023,-86.282
2017190,6.7985406,6.5205278,92.3969455,-1.684,-43.032,-86.37
2017198,6.8132018,6.5267626,92.4657228,-1.667,-43.042,-86.473
2017206,6.8174228,6.5203223,92.5578911,-1.665,-43.047,-86.583
2017214,6.8293302,6.5206636,92.6550077,-1.664,-43.055,-86.664
2017222,6.8574343,6.5298805,92.8095879,-1.657,-43.045,-86.859
2017230,6.8933374,6.5476942,92.9528924,-1.657,-43.047,-87.005
2017238,6.8561428,6.4948082,93.1076046,-1.658,-43.015,-87.12
2017246,6.9116918,6.5329649,93.2345196,-1.613,-43.01,-87.308
2017254,6.9796311,6.5800614,93.3836243,-1.575,-43.026,-87.506
2017262,6.9751779,6.5561954,93.5552978,-1.603,-43.007,-87.647
2017270,6.9738214,6.5367909,93.7140083,-1.616,-42.983,-87.781
2017278,7.0338034,6.5724629,93.8930314,-1.565,-42.976,-87.993
2017286,7.0880521,6.6020053,94.0763782,-1.528,-42.98,-88.201
2017294,7.1141611,6.6075488,94.2389557,-1.534,-42.984,-88.369
2017302,7.1068537,6.5824777,94.397764,-1.533,-42.962,-88.526
2017310,7.1366912,6.590675,94.5664482,-1.51,-42.944,-88.718
2017318,7.1895756,6.6224875,94.71357,-1.483,-42.948,-88.93
2017326,7.2145135,6.63155,94.8335408,-1.479,-42.937,-89.07
2017334,7.2026259,6.6093631,94.9308922,-1.492,-42.918,-89.154
2017342,7.2092633,6.6010105,95.0559443,-1.488,-42.901,-89.275
2017350,7.2501628,6.622288,95.1955782,-1.476,-42.884,-89.446
2017358,7.2768838,6.6326723,95.3164387,-1.466,-42.871,-89.576
