Frame,Rz,Ry,Rx,Tx,Ty,Tz,Tz
2215062,6.5138166,6.4783831,90.3131942,-1.684,-43.044,-83.882,-3.70E+28
2215070,6.5150126,6.4795927,90.3130162,-1.684,-43.045,-83.885,-3.70E+28
2215078,6.5130387,6.4775362,90.3138431,-1.685,-43.043,-83.882,-3.70E+28
2215086,6.5137906,6.47835,90.3132587,-1.684,-43.044,-83.882,-3.70E+28
2215094,6.5147313,6.479285,90.3132637,-1.684,-43.045,-83.884,-3.70E+28
2215102,6.5138229,6.4783496,90.3135464,-1.684,-43.044,-83.882,-3.70E+28
2215110,6.5129255,6.4774267,90.3138159,-1.683,-43.043,-83.881,-3.70E+28
2215118,6.5135654,6.4781311,90.313214,-1.684,-43.044,-83.883,-3.70E+28
2215126,6.5120061,6.4765664,90.3133367,-1.684,-43.044,-83.881,-3.70E+28
2215134,6.5121149,6.4766894,90.3132045,-1.684,-43.044,-83.881,-3.70E+28
2215142,6.5122381,6.4768261,90.3130788,-1.684,-43.044,-83.882,-3.70E+28
2215150,6.5111255,6.4756653,90.31356,-1.682,-43.043,-83.879,-3.70E+28
2215158,6.5118438,6.4763684,90.3136602,-1.683,-43.044,-83.881,-3.70E+28
2215166,6.5126979,6.4772907,90.3130151,-1.682,-43.044,-83.881,-3.70E+28
2215174,6.5135587,6.4782201,90.312366,-1.681,-43.045,-83.881,-3.70E+28
2215182,6.5116383,6.4762465,90.3129294,-1.682,-43.044,-83.879,-3.70E+28
2215190,6.5113919,6.4760072,90.3128775,-1.682,-43.044,-83.878,-3.70E+28
2215198,6.5111376,6.4757608,90.31282,-1.682,-43.044,-83.878,-3.70E+28
2215206,6.5122825,6.4768057,90.3136519,-1.682,-43.043,-83.881,-3.70E+28
2215214,6.5125232,6.4770653,90.313472,-1.682,-43.044,-83.88,-3.70E+28
2215222,6.5124715,6.477038,90.3132592,-1.682,-43.044,-83.88,-3.70E+28
2215230,6.5124277,6.4770173,90.3130569,-1.683,-43.044,-83.879,-3.70E+28
2215238,6.5140511,6.4787535,90.3119786,-1.682,-43.046,-83.88,-3.70E+28
2215246,6.5137888,6.4783911,90.3128782,-1.683,-43.045,-83.881,-3.70E+28
2215254,6.5135253,6.4780275,90.3137776,-1.685,-43.044,-83.882,-3.70E+28
2215262,6.5154652,6.4800855,90.3126388,-1.682,-43.046,-83.883,-3.70E+28
2215270,6.5150379,6.4796132,90.3130576,-1.682,-43.046,-83.882,-3.70E+28
2215278,6.5145904,6.4791212,90.3134741,-1.682,-43.045,-83.881,-3.70E+28
2215286,6.5139338,6.4785889,90.3124035,-1.684,-43.046,-83.881,-3.70E+28
2215294,6.5144031,6.4791225,90.3118113,-1.684,-43.047,-83.882,-3.70E+28
2215302,6.5148566,6.4796416,90.3112077,-1.684,-43.048,-83.882,-3.70E+28
2215310,6.5145341,6.4791354,90.3128515,-1.684,-43.045,-83.883,-3.70E+28
2215318,6.5142758,6.47891,90.312572,-1.683,-43.046,-83.882,-3.70E+28
2215326,6.5129064,6.4775855,90.3122395,-1.683,-43.046,-83.88,-3.70E+28
2215334,6.5127205,6.477346,90.312724,-1.683,-43.045,-83.88,-3.70E+28
2215342,6.5132889,6.4778986,90.3128362,-1.684,-43.045,-83.882,-3.70E+28
2215350,6.5129261,6.4775028,90.3131468,-1.685,-43.044,-83.882,-3.70E+28
2215358,6.5125544,6.4770993,90.3134467,-1.685,-43.044,-83.882,-3.70E+28
