Frame,Rz,Ry,Rx,Tx,Ty,Tz
45742,-37.6959521,-39.3032206,87.4186012,18.772,-79.474,-114.598
45750,-37.6969781,-39.3038104,87.4193473,18.772,-79.472,-114.598
45758,-37.6980066,-39.304401,87.4200961,18.771,-79.471,-114.597
45766,-37.6980402,-39.3042558,87.42038,18.771,-79.47,-114.599
45774,-37.6983966,-39.3048764,87.4199834,18.77,-79.47,-114.598
45782,-37.698869,-39.3052899,87.4201032,18.77,-79.471,-114.599
45790,-37.6971429,-39.3040652,87.4192148,18.771,-79.472,-114.602
45798,-37.6957638,-39.3028179,87.4189287,18.774,-79.475,-114.605
45806,-37.6963448,-39.303459,87.4188668,18.773,-79.474,-114.604
45814,-37.6969385,-39.3040987,87.4188278,18.772,-79.474,-114.604
45822,-37.6972099,-39.3042415,87.4190461,18.772,-79.475,-114.603
45830,-37.6974815,-39.3043812,87.4192695,18.773,-79.475,-114.602
45838,-37.6981294,-39.3049729,87.4193947,18.771,-79.473,-114.601
45846,-37.6980746,-39.304984,87.4192877,18.772,-79.474,-114.599
45854,-37.6977261,-39.3047753,87.4190476,18.772,-79.474,-114.6
45862,-37.6973864,-39.304562,87.418829,18.772,-79.474,-114.602
45870,-37.6986253,-39.3051748,87.4198864,18.771,-79.472,-114.599
45878,-37.6991123,-39.3056948,87.419862,18.77,-79.47,-114.598
45886,-37.6993851,-39.3056112,87.4204395,18.77,-79.469,-114.598
45894,-37.6996547,-39.3055155,87.4210309,18.771,-79.469,-114.599
45902,-37.6988908,-39.3046704,87.4211156,18.773,-79.469,-114.599
45910,-37.6981231,-39.3038222,87.4211992,18.775,-79.47,-114.599
45918,-37.6979045,-39.3037239,87.4209971,18.775,-79.471,-114.601
45926,-37.6986702,-39.3043173,87.4213122,18.775,-79.469,-114.6
45934,-37.6976621,-39.3032683,87.4213197,18.778,-79.471,-114.601
45942,-37.6963035,-39.3020037,87.4210945,18.78,-79.472,-114.602
45950,-37.6955392,-39.3012658,87.4210097,18.781,-79.471,-114.603
45958,-37.6960081,-39.3011768,87.4219161,18.783,-79.472,-114.603
45966,-37.6952753,-39.3007669,87.4213654,18.783,-79.472,-114.603
45974,-37.6946133,-39.3008367,87.4201737,18.784,-79.475,-114.602
45982,-37.6948979,-39.3007016,87.4208518,18.786,-79.475,-114.602
