Frame,Rz,Ry,Rx,Tx,Ty,Tz
100198,-37.8572056,-39.5299011,87.3249311,18.808,-79.253,-114.628
100214,-37.8569087,-39.5292852,87.3254145,18.811,-79.256,-114.628
100222,-37.8583448,-39.530378,87.3260369,18.81,-79.254,-114.625
100230,-37.8582853,-39.5304872,87.3257686,18.81,-79.255,-114.624
100238,-37.8585507,-39.5303872,87.3263577,18.811,-79.255,-114.624
100246,-37.8588079,-39.5302764,87.3269501,18.812,-79.254,-114.624
100254,-37.8573113,-39.5292977,87.3260502,18.814,-79.256,-114.626
100262,-37.8575697,-39.5294823,87.3261811,18.815,-79.256,-114.624
100270,-37.8575172,-39.5293069,87.3263709,18.815,-79.256,-114.622
100278,-37.856885,-39.5287835,87.3261633,18.816,-79.256,-114.622
100286,-37.8559899,-39.5278704,87.3261394,18.818,-79.258,-114.622
100294,-37.8550437,-39.5272421,87.3255853,18.819,-79.259,-114.621
100302,-37.8541412,-39.5266555,87.3250368,18.82,-79.259,-114.621
100310,-37.8532441,-39.5260716,87.3244931,18.821,-79.26,-114.621
100318,-37.8542878,-39.5269389,87.3248308,18.82,-79.26,-114.618
100326,-37.854059,-39.5270222,87.3243275,18.82,-79.261,-114.617
100334,-37.8538267,-39.5270932,87.3238379,18.819,-79.261,-114.616
100342,-37.854695,-39.5278058,87.3241329,18.818,-79.261,-114.615
100350,-37.8546944,-39.5277422,87.3242319,18.819,-79.261,-114.616
100358,-37.8547287,-39.5277053,87.3243456,18.819,-79.261,-114.618
100366,-37.8551357,-39.5279065,87.3246923,18.819,-79.26,-114.617
100374,-37.8552901,-39.5281902,87.3244985,18.817,-79.26,-114.617
100382,-37.8556478,-39.528475,87.3246336,18.817,-79.26,-114.617
100390,-37.8560003,-39.5287511,87.324774,18.817,-79.26,-114.617
100398,-37.8560845,-39.5284537,87.325378,18.818,-79.258,-114.618
100406,-37.8554301,-39.5276123,87.3256332,18.82,-79.259,-114.62
100414,-37.8553137,-39.527463,87.3256782,18.819,-79.258,-114.622
100422,-37.8548556,-39.5272997,87.3251888,18.819,-79.259,-114.621
100430,-37.8544133,-39.5271402,87.3247192,18.819,-79.259,-114.62
100438,-37.8541932,-39.5268267,87.3248529,18.821,-79.261,-114.62
100446,-37.8543073,-39.5268208,87.3250479,18.82,-79.26,-114.619
100454,-37.8544337,-39.5268227,87.3252508,18.82,-79.26,-114.618
100462,-37.8527265,-39.5255793,87.3244232,18.822,-79.263,-114.619
100470,-37.8523348,-39.5254174,87.3240397,18.822,-79.264,-114.62
100478,-37.8522019,-39.525345,87.3239369,18.821,-79.264,-114.621
100486,-37.8533455,-39.5263108,87.3242829,18.82,-79.262,-114.618
100494,-37.8529689,-39.525967,87.3242093,18.821,-79.263,-114.617
100502,-37.8525994,-39.5256223,87.3241488,18.822,-79.264,-114.617
100510,-37.8532858,-39.5263339,87.3241493,18.82,-79.262,-114.617
100518,-37.8546266,-39.5272509,87.3248926,18.819,-79.261,-114.616
100526,-37.8547005,-39.5271501,87.3251712,18.819,-79.261,-114.617
100534,-37.8547993,-39.5271672,87.3253051,18.82,-79.261,-114.618
100542,-37.8548957,-39.5271837,87.3254361,18.821,-79.262,-114.62
100550,-37.8560448,-39.5270123,87.3275756,18.822,-79.258,-114.62
100558,-37.8559817,-39.5269474,87.3275748,18.823,-79.259,-114.621
100566,-37.8564722,-39.52711,87.3281179,18.823,-79.258,-114.621
100574,-37.8564206,-39.5269758,87.3282445,18.823,-79.258,-114.62
100582,-37.8577541,-39.5276827,87.3293057,18.823,-79.256,-114.62
100590,-37.8580156,-39.5274145,87.3301522,18.824,-79.256,-114.622
100598,-37.8577841,-39.527197,87.3301168,18.825,-79.256,-114.622
100606,-37.8572594,-39.5267948,87.329894,18.825,-79.257,-114.622
100614,-37.8569067,-39.5266896,87.3294849,18.825,-79.258,-114.622
100622,-37.8565549,-39.5265827,87.3290801,18.825,-79.259,-114.623
100630,-37.8572298,-39.527426,87.3288551,18.823,-79.258,-114.619
100638,-37.8555892,-39.5265733,87.327523,18.822,-79.26,-114.62
100646,-37.8559215,-39.5265218,87.3281447,18.823,-79.259,-114.62
100654,-37.8555133,-39.5254621,87.3291435,18.825,-79.26,-114.621
100662,-37.8539289,-39.5244848,87.3280984,18.826,-79.263,-114.625
100670,-37.853029,-39.5251278,87.3256243,18.823,-79.263,-114.62
100678,-37.8547767,-39.5263382,87.3265695,18.822,-79.263,-114.618
100686,-37.8572779,-39.5282063,87.3277087,18.82,-79.26,-114.617
100694,-37.8568899,-39.5280476,87.3273262,18.819,-79.259,-114.616
