Frame,Rz,Ry,Rx,Tx,Ty,Tz,State
86918,-45.2580479,-47.2870783,87.1928912,33.244,-70.218,-116.854,OK
86934,-45.2587313,-47.2880266,87.1925631,33.244,-70.218,-116.851,OK
86942,-45.2593871,-47.2883375,87.1930627,33.242,-70.216,-116.85,OK
86950,-45.2594647,-47.2886453,87.1927534,33.243,-70.217,-116.85,OK
86958,-45.2608906,-47.2899349,87.1930055,33.24,-70.216,-116.849,OK
86966,-45.2582369,-47.2880369,87.1918538,33.243,-70.218,-116.853,OK
86974,-45.258703,-47.2880624,87.1924746,33.245,-70.218,-116.854,OK
86982,-45.2593459,-47.2893529,87.1916244,33.241,-70.218,-116.851,OK
86990,-45.2574935,-47.2874438,87.1916146,33.243,-70.218,-116.853,OK
86998,-45.2584928,-47.2886143,87.1914289,33.242,-70.218,-116.849,OK
87006,-45.2592324,-47.289365,87.1914484,33.24,-70.217,-116.848,OK
87014,-45.259967,-47.2901138,87.1914635,33.238,-70.216,-116.847,OK
87022,-45.2584126,-47.2882416,87.1918226,33.243,-70.218,-116.85,OK
87030,-45.2582121,-47.2881548,87.1916588,33.243,-70.218,-116.849,OK
87038,-45.2570491,-47.2870195,87.1915666,33.244,-70.218,-116.851,OK
87046,-45.2579772,-47.2883963,87.1910001,33.242,-70.218,-116.847,OK
87054,-45.2581422,-47.2882976,87.1913663,33.241,-70.216,-116.847,OK
87062,-45.2585269,-47.2880992,87.192177,33.242,-70.216,-116.846,OK
87070,-45.2608697,-47.2896588,87.1933513,33.242,-70.215,-116.843,OK
87078,-45.261281,-47.2898034,87.1937331,33.24,-70.214,-116.843,OK
87086,-45.2595934,-47.2879876,87.1938284,33.245,-70.217,-116.848,OK
87094,-45.2586941,-47.2872159,87.1936129,33.249,-70.219,-116.848,OK
87102,-45.258927,-47.2881375,87.1926875,33.245,-70.217,-116.845,OK
87110,-45.2573395,-47.2867221,87.1923792,33.247,-70.219,-116.849,OK
87118,-45.2598506,-47.2887689,87.193128,33.245,-70.218,-116.846,OK
87126,-45.2592426,-47.2887193,87.1923405,33.244,-70.219,-116.845,OK
87134,-45.2575899,-47.28676,87.1926799,33.248,-70.222,-116.849,OK
87142,-45.258128,-47.2870262,87.1930746,33.25,-70.223,-116.849,OK
87150,-45.256358,-47.2869034,87.1907526,33.246,-70.223,-116.848,OK
87158,-45.2551331,-47.2854591,87.1909934,33.249,-70.225,-116.85,OK
87166,-45.2561573,-47.2867757,87.1906439,33.247,-70.223,-116.847,OK
87174,-45.2565853,-47.2881401,87.189391,33.243,-70.224,-116.846,OK
87182,-45.2558942,-47.2863591,87.1908403,33.249,-70.225,-116.85,OK
87190,-45.2572743,-47.2881089,87.1904025,33.246,-70.223,-116.845,OK
87198,-45.2563864,-47.2880157,87.1892805,33.244,-70.224,-116.845,OK
87206,-45.2547763,-47.2859371,87.1898419,33.249,-70.225,-116.85,OK
87214,-45.2556103,-47.2875215,87.1888608,33.246,-70.223,-116.848,OK
87222,-45.2558132,-47.2874405,87.1892564,33.245,-70.222,-116.849,OK
87230,-45.2551993,-47.2865188,87.189646,33.247,-70.223,-116.851,OK
87238,-45.2571911,-47.2880442,87.1903734,33.246,-70.222,-116.85,OK
87246,-45.257283,-47.2881912,87.1903029,33.245,-70.222,-116.849,OK
87254,-45.2564963,-47.286419,87.1916055,33.248,-70.22,-116.852,OK
87262,-45.2580222,-47.2884912,87.1909344,33.245,-70.22,-116.848,OK
87270,-45.2600564,-47.2893544,87.1926215,33.243,-70.218,-116.847,OK
87278,-45.2595736,-47.2883437,87.1933166,33.246,-70.218,-116.848,OK
87286,-45.2602987,-47.2897295,87.1924523,33.244,-70.218,-116.846,OK
87294,-45.2607848,-47.2899712,87.1928073,33.243,-70.219,-116.845,OK
87302,-45.2578826,-47.2879188,87.1915163,33.246,-70.22,-116.848,OK
87310,-45.260277,-47.2900085,87.1920427,33.244,-70.218,-116.845,OK
87318,-45.2596508,-47.2895113,87.1918379,33.244,-70.219,-116.845,OK
87326,-45.2573319,-47.2877002,87.191039,33.247,-70.219,-116.848,OK
87334,-45.2585182,-47.2893275,87.1904952,33.245,-70.219,-116.847,OK
87342,-45.2586969,-47.289121,87.1910271,33.245,-70.218,-116.847,OK
87350,-45.2560152,-47.2874177,87.1895714,33.247,-70.221,-116.85,OK
87358,-45.2572178,-47.2886495,87.1895882,33.245,-70.22,-116.848,OK
87366,-45.2584395,-47.2882694,87.1918228,33.247,-70.22,-116.849,OK
87374,-45.2555902,-47.2864524,87.1902859,33.25,-70.221,-116.849,OK
87382,-45.2579842,-47.2883554,87.1910655,33.248,-70.221,-116.846,OK
87390,-45.2577203,-47.2879936,87.1911863,33.248,-70.223,-116.847,OK
87398,-45.2552089,-47.2864264,87.1897851,33.25,-70.224,-116.849,OK
87406,-45.2574849,-47.2882883,87.1904547,33.249,-70.223,-116.846,OK
87414,-45.2565398,-47.2872419,87.1905481,33.249,-70.223,-116.847,OK
87422,-45.2557022,-47.2865499,87.1903108,33.25,-70.224,-116.847,OK
87430,-45.2580458,-47.2878594,87.1918265,33.249,-70.222,-116.844,OK
87438,-45.2573417,-47.2873697,87.1915019,33.249,-70.222,-116.845,OK
87446,-45.2539236,-47.2853425,87.1894509,33.251,-70.223,-116.848,OK
87454,-45.2211488,-47.2678524,87.1671263,33.271,-70.265,-116.87,OK
87462,-45.0520922,-47.1818444,87.0459399,33.385,-70.483,-116.986,OK
87470,-44.892156,-47.2924258,86.6695919,33.201,-70.149,-116.498,OK
87478,-44.8685027,-47.289835,86.6396479,33.371,-70.082,-116.603,OK
