Frame,Rz,Ry,Rx,Tx,Ty,Tz,State
169286,-43.5144667,-47.8073732,84.0046301,33.213,-69.535,-116.45,OK
169294,-43.5127855,-47.8069495,84.0027705,33.21,-69.534,-116.448,OK
169302,-43.5136865,-47.8067949,84.0042796,33.214,-69.535,-116.451,OK
169310,-43.5119549,-47.8063266,84.0024069,33.212,-69.536,-116.45,OK
169318,-43.5115686,-47.8058054,84.0025485,33.213,-69.537,-116.452,OK
169326,-43.5111573,-47.8055289,84.0023257,33.213,-69.536,-116.451,OK
169334,-43.5107435,-47.8056146,84.0016127,33.212,-69.536,-116.451,OK
169342,-43.5132416,-47.8068403,84.003576,33.211,-69.534,-116.45,OK
169350,-43.5115978,-47.8060305,84.0022886,33.21,-69.534,-116.447,OK
169358,-43.5116141,-47.8059228,84.0024568,33.211,-69.535,-116.451,OK
169366,-43.5094509,-47.8046569,84.0010313,33.212,-69.536,-116.452,OK
169374,-43.5097211,-47.8039851,84.0023234,33.215,-69.536,-116.455,OK
169382,-43.5111983,-47.8052377,84.0027756,33.213,-69.534,-116.451,OK
169390,-43.5106349,-47.8056978,84.0013444,33.21,-69.534,-116.45,OK
169398,-43.5122382,-47.8059128,84.0033717,33.213,-69.534,-116.451,OK
169406,-43.5100548,-47.805515,84.0007518,33.211,-69.534,-116.45,OK
169414,-43.5098589,-47.8043285,84.0020615,33.215,-69.536,-116.454,OK
169422,-43.5080353,-47.8034444,84.0006141,33.215,-69.536,-116.454,OK
169430,-43.5080051,-47.8038918,83.9999698,33.214,-69.536,-116.455,OK
169438,-43.508942,-47.8039082,84.0013012,33.216,-69.536,-116.454,OK
169446,-43.5077649,-47.8031319,84.000643,33.215,-69.535,-116.456,OK
169454,-43.5094239,-47.8041306,84.0016987,33.215,-69.536,-116.455,OK
169462,-43.5081944,-47.8043766,83.9995925,33.213,-69.536,-116.453,OK
169470,-43.5109307,-47.8048221,84.0029471,33.216,-69.534,-116.453,OK
169478,-43.511106,-47.8054894,84.0023045,33.214,-69.534,-116.45,OK
169486,-43.5117682,-47.8059859,84.0025946,33.214,-69.534,-116.45,OK
169494,-43.5124317,-47.8064891,84.0028775,33.214,-69.533,-116.45,OK
169502,-43.5124176,-47.8071645,84.0019504,33.212,-69.534,-116.447,OK
169510,-43.5156084,-47.807902,84.0055694,33.214,-69.533,-116.446,OK
169518,-43.5145115,-47.807914,84.003969,33.211,-69.531,-116.443,OK
169526,-43.516069,-47.8089416,84.0048391,33.21,-69.531,-116.442,OK
169534,-43.515545,-47.8087563,84.0043312,33.211,-69.531,-116.442,OK
169542,-43.515013,-47.8085741,84.0038073,33.211,-69.532,-116.442,OK
169550,-43.5148655,-47.8078507,84.0045653,33.212,-69.532,-116.443,OK
169558,-43.5127892,-47.8068854,84.0028619,33.212,-69.533,-116.444,OK
169566,-43.5136226,-47.8069428,84.0039887,33.215,-69.534,-116.447,OK
169574,-43.5128318,-47.8070175,84.0027462,33.212,-69.533,-116.445,OK
169582,-43.5144775,-47.8074989,84.004477,33.213,-69.532,-116.444,OK
169590,-43.5137072,-47.8075751,84.0032622,33.213,-69.535,-116.445,OK
169598,-43.512952,-47.8076652,84.0020503,33.213,-69.537,-116.445,OK
169606,-43.5135866,-47.8066835,84.0042848,33.216,-69.535,-116.449,OK
169614,-43.5116739,-47.8061034,84.0023006,33.215,-69.536,-116.449,OK
169622,-43.5133509,-47.8065794,84.004084,33.215,-69.534,-116.449,OK
169630,-43.5133159,-47.8073434,84.0030079,33.213,-69.535,-116.447,OK
169638,-43.5134611,-47.8079787,84.002365,33.209,-69.534,-116.445,OK
169646,-43.5140866,-47.8077433,84.0035843,33.21,-69.533,-116.443,OK
169654,-43.5132586,-47.8082065,84.0017667,33.207,-69.534,-116.442,OK
169662,-43.5145374,-47.8081862,84.0036411,33.211,-69.534,-116.443,OK
169670,-43.5126381,-47.8073695,84.0019939,33.21,-69.534,-116.444,OK
169678,-43.5138054,-47.8080438,84.0027748,33.211,-69.536,-116.444,OK
169686,-43.5135856,-47.8080658,84.0024278,33.21,-69.536,-116.442,OK
169694,-43.5140382,-47.808251,84.002833,33.21,-69.535,-116.443,OK
169702,-43.5149214,-47.8078651,84.0046266,33.213,-69.534,-116.444,OK
169710,-43.5139462,-47.8078353,84.0032581,33.21,-69.533,-116.443,OK
169718,-43.5156376,-47.8076341,84.0059713,33.213,-69.533,-116.444,OK
169726,-43.5145445,-47.8070447,84.0051835,33.214,-69.533,-116.446,OK
169734,-43.5145032,-47.8063668,84.0060339,33.218,-69.534,-116.449,OK
169742,-43.5139551,-47.8064939,84.0050716,33.216,-69.533,-116.448,OK
169750,-43.5158198,-47.8075951,84.0062866,33.214,-69.532,-116.445,OK
169758,-43.5165322,-47.8077198,84.0071483,33.216,-69.532,-116.445,OK
169766,-43.5155163,-47.8079351,84.0053919,33.213,-69.531,-116.445,OK
169774,-43.5161775,-47.8079166,84.0063718,33.213,-69.53,-116.444,OK
169782,-43.5152129,-47.8084477,84.0042656,33.211,-69.532,-116.443,OK
169790,-43.5150884,-47.8075071,84.0053485,33.214,-69.533,-116.446,OK
169798,-43.5150268,-47.8084088,84.0040491,33.212,-69.533,-116.444,OK
169806,-43.5150482,-47.8090112,84.0032714,33.209,-69.534,-116.442,OK
169814,-43.5150546,-47.8083085,84.0042239,33.212,-69.534,-116.444,OK
169822,-43.5138702,-47.8077029,84.0033261,33.212,-69.535,-116.446,OK
169830,-43.5131809,-47.807361,84.0027893,33.213,-69.536,-116.449,OK
169838,-43.5116074,-47.8061495,84.0021427,33.214,-69.536,-116.449,OK
169846,-43.5116627,-47.8063994,84.0018871,33.212,-69.536,-116.45,OK
169854,-43.5125906,-47.8065255,84.0030582,33.215,-69.537,-116.45,OK
169862,-43.5129724,-47.8068838,84.0031288,33.214,-69.536,-116.449,OK
169870,-43.5126972,-47.8065981,84.0031147,33.215,-69.538,-116.45,OK
169878,-43.5122725,-47.806021,84.0032759,33.216,-69.536,-116.451,OK
169886,-43.5118588,-47.8054548,84.0034384,33.217,-69.535,-116.451,OK
169894,-43.512081,-47.8055346,84.0036524,33.217,-69.535,-116.45,OK
169902,-43.5118687,-47.805413,84.0035089,33.216,-69.536,-116.449,OK
169910,-43.5130321,-47.8056006,84.0049374,33.217,-69.535,-116.448,OK
169918,-43.5128195,-47.8061617,84.0038771,33.216,-69.536,-116.447,OK
169926,-43.5141998,-47.8062426,84.0057624,33.217,-69.536,-116.446,OK
169934,-43.5130163,-47.8061691,84.0041515,33.215,-69.535,-116.444,OK
169942,-43.5128239,-47.8056589,84.0045585,33.216,-69.536,-116.447,OK
169950,-43.512321,-47.8052948,84.0043209,33.216,-69.535,-116.447,OK
169958,-43.5130695,-47.8065612,84.003702,33.213,-69.536,-116.445,OK
169966,-43.5138255,-47.8078413,84.0030757,33.21,-69.536,-116.442,OK
169974,-43.5133238,-47.8071387,84.0032941,33.212,-69.536,-116.443,OK
169982,-43.5128297,-47.8063504,84.0036387,33.214,-69.537,-116.447,OK
169990,-43.5113141,-47.8054906,84.0026035,33.214,-69.538,-116.448,OK
169998,-43.5118249,-47.8058073,84.0029163,33.213,-69.537,-116.448,OK
170006,-43.5109548,-47.8055399,84.0020184,33.213,-69.538,-116.447,OK
170014,-43.5115798,-47.8060466,84.0022409,33.212,-69.537,-116.448,OK
170022,-43.5113382,-47.8056711,84.002396,33.212,-69.537,-116.448,OK
170030,-43.509342,-47.8049296,84.000508,33.21,-69.538,-116.448,OK
170038,-43.5088607,-47.8040381,84.0010094,33.211,-69.538,-116.45,OK
170046,-43.5083394,-47.8033908,84.0011253,33.212,-69.538,-116.45,OK
170054,-43.5096706,-47.8041861,84.0019808,33.211,-69.536,-116.45,OK
170062,-43.5095616,-47.8044894,84.0014161,33.21,-69.536,-116.449,OK
170070,-43.5094613,-47.8047996,84.0008548,33.209,-69.536,-116.449,OK
170078,-43.5104863,-47.8049965,84.002071,33.209,-69.535,-116.447,OK
170086,-43.5108649,-47.8049225,84.0027173,33.21,-69.535,-116.448,OK
170094,-43.5096385,-47.8036594,84.0026413,33.212,-69.536,-116.451,OK
170102,-43.510359,-47.8045195,84.0025274,33.209,-69.534,-116.45,OK
170110,-43.5110774,-47.8048851,84.0030744,33.21,-69.535,-116.449,OK
170118,-43.5118047,-47.8052557,84.0036275,33.21,-69.535,-116.449,OK
170126,-43.5130656,-47.8075978,84.0023049,33.203,-69.532,-116.444,OK
170134,-43.5130053,-47.8074206,84.0024557,33.204,-69.533,-116.444,OK
170142,-43.5135977,-47.8076056,84.0030631,33.204,-69.532,-116.442,OK
170150,-43.513973,-47.8078991,84.0032111,33.204,-69.533,-116.441,OK
170158,-43.5138376,-47.8078895,84.0030284,33.204,-69.533,-116.44,OK
170166,-43.5127788,-47.8076251,84.001854,33.204,-69.533,-116.439,OK
170174,-43.5117257,-47.8073576,84.0006919,33.204,-69.534,-116.438,OK
170182,-43.5123185,-47.8075698,84.0012633,33.208,-69.536,-116.433,OK
170190,-43.5131546,-47.8075105,84.0025507,33.21,-69.535,-116.432,OK
170198,-43.5107522,-47.8062318,84.0007969,33.213,-69.537,-116.432,OK
170206,-43.5095865,-47.8048968,84.0009051,33.218,-69.539,-116.433,OK
170214,-43.5084367,-47.8042404,84.0001253,33.218,-69.539,-116.431,OK
170222,-43.5069592,-47.8037145,83.998697,33.218,-69.54,-116.429,OK
170230,-43.5072512,-47.8038006,83.9990032,33.219,-69.539,-116.429,OK
170238,-43.5066936,-47.8040408,83.9978752,33.217,-69.539,-116.426,OK
170246,-43.5059214,-47.8033614,83.9976717,33.219,-69.54,-116.426,OK
170254,-43.5059169,-47.8033865,83.9976315,33.218,-69.539,-116.426,OK
170262,-43.5045853,-47.8029839,83.9962482,33.218,-69.539,-116.428,OK
170270,-43.5022603,-47.8018748,83.9943783,33.217,-69.54,-116.431,OK
170278,-43.5032876,-47.8034452,83.9937543,33.214,-69.54,-116.43,OK
170286,-43.5056352,-47.8042965,83.9960031,33.213,-69.537,-116.43,OK
170294,-43.5069037,-47.8053194,83.9964624,33.212,-69.537,-116.431,OK
170302,-43.5081482,-47.8058413,83.9975596,33.213,-69.536,-116.434,OK
170310,-43.5083053,-47.8062348,83.9972582,33.212,-69.537,-116.434,OK
170318,-43.5100104,-47.8068392,83.9989101,33.212,-69.536,-116.437,OK
170326,-43.5110797,-47.8060877,84.0014634,33.217,-69.535,-116.44,OK
170334,-43.5103899,-47.8063707,84.0000871,33.214,-69.535,-116.442,OK
170342,-43.5123746,-47.8064238,84.0028827,33.217,-69.536,-116.442,OK
170350,-43.5136337,-47.8079645,84.0026333,33.214,-69.536,-116.44,OK
170358,-43.5148666,-47.807888,84.0045167,33.216,-69.535,-116.442,OK
170366,-43.5130284,-47.8070555,84.0029792,33.216,-69.535,-116.443,OK
170374,-43.5112,-47.8062271,84.0014501,33.216,-69.536,-116.444,OK
170382,-43.5129995,-47.8062361,84.0040373,33.218,-69.534,-116.443,OK
170390,-43.5120885,-47.8058399,84.0032533,33.217,-69.534,-116.445,OK
170398,-43.5132886,-47.8072389,84.0031088,33.215,-69.534,-116.443,OK
170406,-43.5108137,-47.8069087,83.9999771,33.213,-69.536,-116.444,OK
170414,-43.5108965,-47.8065228,84.0006147,33.215,-69.537,-116.445,OK
170422,-43.5093353,-47.806054,83.9989888,33.214,-69.537,-116.446,OK
170430,-43.5095571,-47.8056731,83.9998206,33.215,-69.537,-116.447,OK
170438,-43.5097042,-47.8049939,84.0009448,33.218,-69.538,-116.447,OK
170446,-43.5095669,-47.8055736,83.9999684,33.216,-69.537,-116.447,OK
170454,-43.5109577,-47.8065512,84.000665,33.216,-69.539,-116.447,OK
170462,-43.5082453,-47.8058238,83.9977233,33.213,-69.54,-116.447,OK
170470,-43.5080693,-47.8053785,83.9980668,33.215,-69.541,-116.448,OK
170478,-43.5068385,-47.8042289,83.9978321,33.217,-69.542,-116.449,OK
170486,-43.5078893,-47.8050585,83.9982363,33.215,-69.54,-116.448,OK
170494,-43.5096075,-47.8052553,84.0004542,33.217,-69.539,-116.447,OK
170502,-43.5088244,-47.8045498,84.0002701,33.217,-69.538,-116.449,OK
170510,-43.5105658,-47.8056285,84.0013376,33.216,-69.538,-116.446,OK
170518,-43.5099966,-47.8054124,84.0008055,33.215,-69.536,-116.445,OK
170526,-43.5101855,-47.8051025,84.0014942,33.217,-69.538,-116.446,OK
170534,-43.509838,-47.8047087,84.0015209,33.218,-69.536,-116.446,OK
170542,-43.5113436,-47.8053935,84.0027765,33.218,-69.535,-116.446,OK
170550,-43.5129686,-47.8059924,84.0043197,33.219,-69.534,-116.443,OK
170558,-43.5122828,-47.8060064,84.0033104,33.217,-69.534,-116.444,OK
170566,-43.5126519,-47.8060455,84.0037911,33.218,-69.535,-116.445,OK
170574,-43.5110856,-47.8055899,84.0021403,33.217,-69.536,-116.446,OK
170582,-43.5118572,-47.8058986,84.0028404,33.218,-69.536,-116.446,OK
170590,-43.5126565,-47.8062219,84.003561,33.218,-69.535,-116.445,OK
170598,-43.5137332,-47.807832,84.0029549,33.213,-69.533,-116.443,OK
170606,-43.5136778,-47.8071638,84.0037717,33.215,-69.533,-116.444,OK
170614,-43.5127814,-47.8067697,84.003006,33.215,-69.534,-116.446,OK
170622,-43.5118957,-47.8063881,84.0022389,33.214,-69.535,-116.447,OK
170630,-43.5135663,-47.8073212,84.0033994,33.214,-69.533,-116.444,OK
170638,-43.5130472,-47.8069058,84.0032073,33.215,-69.533,-116.445,OK
170646,-43.5134516,-47.8069178,84.0037752,33.216,-69.533,-116.445,OK
170654,-43.5146382,-47.8082925,84.0036439,33.212,-69.531,-116.443,OK
170662,-43.5144441,-47.8083563,84.0032778,33.213,-69.532,-116.444,OK
170670,-43.5132565,-47.8078998,84.0021754,33.212,-69.532,-116.443,OK
170678,-43.5133297,-47.807627,84.0026473,33.214,-69.533,-116.444,OK
170686,-43.5126187,-47.8073058,84.0020514,33.214,-69.534,-116.444,OK
170694,-43.5119047,-47.8069747,84.0014644,33.213,-69.534,-116.444,OK
170702,-43.5109864,-47.8064746,84.0008093,33.215,-69.537,-116.446,OK
170710,-43.5104004,-47.8070353,83.9992101,33.213,-69.538,-116.446,OK
170718,-43.5120161,-47.8074541,84.0009819,33.215,-69.538,-116.446,OK
170726,-43.5109906,-47.8071168,83.9999532,33.213,-69.538,-116.446,OK
