Frame,Rz,Ry,Rx,Tx,Ty,Tz,State
400550,-53.3961002,-48.4932022,96.305495,-9.125,-67.516,-118.607,OK
400566,-53.3951802,-48.491797,96.3062211,-9.121,-67.518,-118.608,OK
400574,-53.394025,-48.4911984,96.3055852,-9.121,-67.52,-118.61,OK
400582,-53.392543,-48.4904838,96.3046987,-9.122,-67.52,-118.612,OK
400590,-53.39112,-48.4892482,96.3045768,-9.12,-67.522,-118.614,OK
400598,-53.3910204,-48.4891849,96.3045374,-9.12,-67.522,-118.615,OK
400606,-53.3909709,-48.489466,96.304103,-9.12,-67.524,-118.611,OK
400614,-53.3899347,-48.4893922,96.302918,-9.12,-67.525,-118.611,OK
400622,-53.3900989,-48.488838,96.3038568,-9.119,-67.525,-118.614,OK
400630,-53.3896247,-48.4883975,96.3038544,-9.12,-67.524,-118.617,OK
400638,-53.3891618,-48.487974,96.3038432,-9.121,-67.522,-118.619,OK
400646,-53.390404,-48.4889172,96.3041295,-9.121,-67.522,-118.615,OK
400654,-53.3917703,-48.4897593,96.3047035,-9.122,-67.52,-118.615,OK
400662,-53.39177,-48.4890657,96.3056239,-9.12,-67.521,-118.615,OK
400670,-53.3921894,-48.4897457,96.3052406,-9.122,-67.518,-118.614,OK
400678,-53.3922427,-48.4895489,96.3055677,-9.122,-67.519,-118.615,OK
400686,-53.3931774,-48.4899681,96.3061686,-9.122,-67.517,-118.616,OK
400694,-53.3933747,-48.4899955,96.3063766,-9.122,-67.516,-118.615,OK
400702,-53.3935852,-48.4900252,96.3065978,-9.122,-67.516,-118.615,OK
400710,-53.3927911,-48.4896418,96.3061236,-9.121,-67.518,-118.613,OK
400718,-53.3940519,-48.4904191,96.3066529,-9.122,-67.517,-118.613,OK
400726,-53.3930984,-48.4895161,96.3066709,-9.122,-67.517,-118.615,OK
400734,-53.3937672,-48.4897733,96.3071575,-9.121,-67.517,-118.613,OK
400742,-53.3944526,-48.4900374,96.3076555,-9.121,-67.516,-118.612,OK
400750,-53.3937249,-48.4892936,96.3077419,-9.121,-67.517,-118.615,OK
400758,-53.3943655,-48.489377,96.3084243,-9.12,-67.517,-118.615,OK
400766,-53.3950011,-48.4894645,96.3090951,-9.12,-67.516,-118.614,OK
400774,-53.3934408,-48.4886956,96.3081839,-9.12,-67.518,-118.618,OK
400782,-53.3944704,-48.4896659,96.3081708,-9.121,-67.517,-118.616,OK
400790,-53.3939837,-48.4894806,96.307814,-9.121,-67.518,-118.617,OK
400798,-53.3920591,-48.4884859,96.3067514,-9.12,-67.52,-118.616,OK
400806,-53.3918555,-48.4887091,96.306203,-9.121,-67.519,-118.616,OK
400814,-53.3916629,-48.4889296,96.3056718,-9.122,-67.518,-118.616,OK
400822,-53.391126,-48.4889258,96.3050122,-9.122,-67.518,-118.616,OK
400830,-53.3898722,-48.4885153,96.3040044,-9.122,-67.52,-118.616,OK
400838,-53.3895217,-48.4884356,96.3036762,-9.122,-67.52,-118.616,OK
400846,-53.3899658,-48.489181,96.3032368,-9.123,-67.519,-118.614,OK
400854,-53.3886665,-48.4882182,96.3029059,-9.122,-67.521,-118.614,OK
400862,-53.3885403,-48.4883763,96.3025398,-9.122,-67.521,-118.614,OK
400870,-53.3886766,-48.4883679,96.3027197,-9.123,-67.521,-118.614,OK
400878,-53.3897719,-48.4887722,96.3035393,-9.122,-67.52,-118.615,OK
400886,-53.3908842,-48.4891933,96.3043576,-9.122,-67.52,-118.616,OK
400894,-53.389319,-48.4884805,96.3033657,-9.121,-67.523,-118.615,OK
400902,-53.3890769,-48.4880104,96.3036899,-9.12,-67.523,-118.614,OK
400910,-53.3893228,-48.4878471,96.3042111,-9.12,-67.523,-118.616,OK
400918,-53.3885385,-48.4874454,96.3037732,-9.122,-67.522,-118.617,OK
400926,-53.3895446,-48.4876661,96.304726,-9.121,-67.522,-118.617,OK
400934,-53.3883775,-48.4872045,96.3038936,-9.121,-67.523,-118.617,OK
